mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,spectral_rolloff,zcr,label
-318.0205993652344,70.81884765625,16.975494384765625,37.03570556640625,-11.1962308883667,-4.317276477813721,-8.574109077453613,-26.443374633789062,-12.661381721496582,-6.083646297454834,-13.941155433654785,2.836881637573242,-6.990806579589844,2335.884091797954,3772.720025510204,0.22807716836734693,0
-318.2982482910156,104.22207641601562,22.5472469329834,35.279109954833984,1.180281162261963,1.0309699773788452,-8.86915111541748,-14.021027565002441,-16.031509399414062,0.31804731488227844,-3.4226622581481934,-6.606295585632324,-3.1764907836914062,1685.2173559798327,2971.8223314606744,0.1434888518258427,0
-329.05029296875,74.17171478271484,21.876890182495117,40.82877731323242,5.512129306793213,-4.478875637054443,-24.55330467224121,-22.009674072265625,-8.764155387878418,-8.927912712097168,-12.008049011230469,-3.1402060985565186,-8.482487678527832,1870.4102694142275,2977.4576822916665,0.18440755208333334,0
-372.141845703125,80.71858215332031,28.400590896606445,28.726198196411133,1.0532281398773193,5.705147743225098,-10.28622817993164,-2.086998224258423,-5.579743385314941,3.52478289604187,-6.485551834106445,2.2409985065460205,-5.180899620056152,1930.309775827125,3074.8083726415093,0.1962844560731132,0
-307.3465270996094,53.044822692871094,18.382793426513672,58.341346740722656,16.0136661529541,-12.12244987487793,-21.806171417236328,-9.699572563171387,-9.856548309326172,5.471453666687012,-17.94462013244629,4.9016194343566895,-2.639697313308716,1968.2858647043251,3257.218070652174,0.16520889945652173,0
-286.62286376953125,80.58458709716797,21.26534652709961,61.559024810791016,6.7074761390686035,-2.138667106628418,-17.43853759765625,-6.135830879211426,-6.340292930603027,-6.389067649841309,-3.5321850776672363,-3.5954880714416504,-1.4991471767425537,1815.8481111870299,3131.095467032967,0.14307713770604397,0
-309.8357238769531,85.36505126953125,11.968984603881836,31.063270568847656,-7.743998050689697,4.820640563964844,-8.42519760131836,-17.42421531677246,-16.617916107177734,-0.053424060344696045,-8.373090744018555,-2.3086154460906982,-3.4963014125823975,2131.4514957536608,3470.6648284313724,0.22457107843137256,0
-312.6955261230469,90.241943359375,4.960416793823242,36.60440444946289,-0.6441555023193359,-3.2617506980895996,2.8749043941497803,-7.305547714233398,-0.9502216577529907,-2.1351706981658936,-8.790826797485352,0.9061146974563599,2.9785525798797607,1787.108684685986,2903.6711165048546,0.14248331310679613,0
-335.4615783691406,98.29501342773438,7.957220077514648,35.69674301147461,-17.1743221282959,0.14487549662590027,-8.092742919921875,-29.39418601989746,-10.229046821594238,-3.1554524898529053,-19.87836265563965,3.65342378616333,-8.406167984008789,1794.8768781147555,2958.3586165048546,0.1652049833131068,0
-322.7655029296875,100.11419677734375,29.258543014526367,38.915706634521484,1.4913924932479858,1.2556697130203247,-2.1190009117126465,-18.73859405517578,-13.581686019897461,0.6588875651359558,-7.272174835205078,-2.730891704559326,-6.2268452644348145,1530.292312397626,2508.828125,0.14404296875,0
-303.18023681640625,90.65943145751953,24.28109359741211,42.22361373901367,-0.332302451133728,1.5613573789596558,-18.39040184020996,-26.374818801879883,-3.238633632659912,-4.403567790985107,-15.0142240524292,-4.82399845123291,-8.713886260986328,1493.6878746570162,2402.625644329897,0.11862717461340207,0
-361.4858703613281,99.41256713867188,13.17908763885498,30.401641845703125,-6.05501127243042,10.071076393127441,-12.18993091583252,-16.929929733276367,-8.695178031921387,-4.184174060821533,-6.511514663696289,-1.270641803741455,-11.71993350982666,1782.0239339115628,2790.130876068376,0.16755558894230768,0
